metric,winner_method,win_count
SCI,proposed_hybrid,16
SCI,qkd_priority,14
SCI,latency_first,4
SCI,pqc_trust,2
allocated_ratio,latency_first,24
allocated_ratio,pqc_trust,24
allocated_ratio,proposed_hybrid,24
allocated_ratio,qkd_priority,24
mean_latency,latency_first,24
mean_latency,pqc_trust,6
mean_latency,proposed_hybrid,3
mean_latency,qkd_priority,2
mean_q_share,qkd_priority,23
mean_q_share,proposed_hybrid,7
mean_q_share,latency_first,2
mean_q_share,pqc_trust,2
mean_security_margin,proposed_hybrid,19
mean_security_margin,qkd_priority,11
mean_security_margin,latency_first,4
mean_security_margin,pqc_trust,2
secure_feasible_ratio,latency_first,24
secure_feasible_ratio,pqc_trust,24
secure_feasible_ratio,proposed_hybrid,24
secure_feasible_ratio,qkd_priority,22
