time,metric,winner_method,winning_value
0,SCI,qkd_priority,0.2122254027677986
1,SCI,proposed_hybrid,0.08967417563643137
1,SCI,qkd_priority,0.08967417563643137
2,SCI,proposed_hybrid,0.10647840740759376
3,SCI,latency_first,0.0568913300001624
3,SCI,pqc_trust,0.0568913300001624
3,SCI,proposed_hybrid,0.0568913300001624
3,SCI,qkd_priority,0.0568913300001624
4,SCI,qkd_priority,0.1037501536714622
5,SCI,pqc_trust,0.3081288201299051
5,SCI,proposed_hybrid,0.3081288201299051
5,SCI,qkd_priority,0.3081288201299051
6,SCI,qkd_priority,0.09563866709464791
7,SCI,proposed_hybrid,0.21806404348253344
7,SCI,qkd_priority,0.21806404348253344
8,SCI,latency_first,0.21713394611408318
8,SCI,qkd_priority,0.21713394611408318
9,SCI,proposed_hybrid,0.3261962815828785
9,SCI,qkd_priority,0.3261962815828785
10,SCI,qkd_priority,0.3229248821826255
11,SCI,qkd_priority,0.3210357465740791
12,SCI,proposed_hybrid,0.10117245013541636
12,SCI,qkd_priority,0.10117245013541636
13,SCI,proposed_hybrid,0.10720270896796183
14,SCI,qkd_priority,0.21035252897981782
15,SCI,proposed_hybrid,0.21699855171510968
16,SCI,latency_first,0.10492204842754509
16,SCI,proposed_hybrid,0.10492204842754509
17,SCI,latency_first,0.10957302327405205
17,SCI,proposed_hybrid,0.10957302327405205
18,SCI,proposed_hybrid,0.22159633093651793
19,SCI,qkd_priority,0.10767747919903851
20,SCI,proposed_hybrid,0.10708067047856691
21,SCI,proposed_hybrid,0.10791348140653372
22,SCI,proposed_hybrid,0.10620629598664828
23,SCI,proposed_hybrid,0.10398593623787744
0,secure_feasible_ratio,latency_first,0.4
0,secure_feasible_ratio,pqc_trust,0.4
0,secure_feasible_ratio,proposed_hybrid,0.4
0,secure_feasible_ratio,qkd_priority,0.4
1,secure_feasible_ratio,latency_first,0.2
1,secure_feasible_ratio,pqc_trust,0.2
1,secure_feasible_ratio,proposed_hybrid,0.2
1,secure_feasible_ratio,qkd_priority,0.2
2,secure_feasible_ratio,latency_first,0.2
2,secure_feasible_ratio,pqc_trust,0.2
2,secure_feasible_ratio,proposed_hybrid,0.2
2,secure_feasible_ratio,qkd_priority,0.2
3,secure_feasible_ratio,latency_first,0.2
3,secure_feasible_ratio,pqc_trust,0.2
3,secure_feasible_ratio,proposed_hybrid,0.2
3,secure_feasible_ratio,qkd_priority,0.2
4,secure_feasible_ratio,latency_first,0.2
4,secure_feasible_ratio,pqc_trust,0.2
4,secure_feasible_ratio,proposed_hybrid,0.2
4,secure_feasible_ratio,qkd_priority,0.2
5,secure_feasible_ratio,latency_first,0.6
5,secure_feasible_ratio,pqc_trust,0.6
5,secure_feasible_ratio,proposed_hybrid,0.6
5,secure_feasible_ratio,qkd_priority,0.6
6,secure_feasible_ratio,latency_first,0.2
6,secure_feasible_ratio,pqc_trust,0.2
6,secure_feasible_ratio,proposed_hybrid,0.2
6,secure_feasible_ratio,qkd_priority,0.2
7,secure_feasible_ratio,latency_first,0.4
7,secure_feasible_ratio,pqc_trust,0.4
7,secure_feasible_ratio,proposed_hybrid,0.4
7,secure_feasible_ratio,qkd_priority,0.4
8,secure_feasible_ratio,latency_first,0.4
8,secure_feasible_ratio,pqc_trust,0.4
8,secure_feasible_ratio,proposed_hybrid,0.4
8,secure_feasible_ratio,qkd_priority,0.4
9,secure_feasible_ratio,latency_first,0.6
9,secure_feasible_ratio,pqc_trust,0.6
9,secure_feasible_ratio,proposed_hybrid,0.6
9,secure_feasible_ratio,qkd_priority,0.6
10,secure_feasible_ratio,latency_first,0.6
10,secure_feasible_ratio,pqc_trust,0.6
10,secure_feasible_ratio,proposed_hybrid,0.6
10,secure_feasible_ratio,qkd_priority,0.6
11,secure_feasible_ratio,latency_first,0.6
11,secure_feasible_ratio,pqc_trust,0.6
11,secure_feasible_ratio,proposed_hybrid,0.6
11,secure_feasible_ratio,qkd_priority,0.6
12,secure_feasible_ratio,latency_first,0.2
12,secure_feasible_ratio,pqc_trust,0.2
12,secure_feasible_ratio,proposed_hybrid,0.2
12,secure_feasible_ratio,qkd_priority,0.2
13,secure_feasible_ratio,latency_first,0.2
13,secure_feasible_ratio,pqc_trust,0.2
13,secure_feasible_ratio,proposed_hybrid,0.2
13,secure_feasible_ratio,qkd_priority,0.2
14,secure_feasible_ratio,latency_first,0.4
14,secure_feasible_ratio,pqc_trust,0.4
14,secure_feasible_ratio,proposed_hybrid,0.4
14,secure_feasible_ratio,qkd_priority,0.4
15,secure_feasible_ratio,latency_first,0.4
15,secure_feasible_ratio,pqc_trust,0.4
15,secure_feasible_ratio,proposed_hybrid,0.4
16,secure_feasible_ratio,latency_first,0.2
16,secure_feasible_ratio,pqc_trust,0.2
16,secure_feasible_ratio,proposed_hybrid,0.2
16,secure_feasible_ratio,qkd_priority,0.2
17,secure_feasible_ratio,latency_first,0.2
17,secure_feasible_ratio,pqc_trust,0.2
17,secure_feasible_ratio,proposed_hybrid,0.2
17,secure_feasible_ratio,qkd_priority,0.2
18,secure_feasible_ratio,latency_first,0.4
18,secure_feasible_ratio,pqc_trust,0.4
18,secure_feasible_ratio,proposed_hybrid,0.4
19,secure_feasible_ratio,latency_first,0.2
19,secure_feasible_ratio,pqc_trust,0.2
19,secure_feasible_ratio,proposed_hybrid,0.2
19,secure_feasible_ratio,qkd_priority,0.2
20,secure_feasible_ratio,latency_first,0.2
20,secure_feasible_ratio,pqc_trust,0.2
20,secure_feasible_ratio,proposed_hybrid,0.2
20,secure_feasible_ratio,qkd_priority,0.2
21,secure_feasible_ratio,latency_first,0.2
21,secure_feasible_ratio,pqc_trust,0.2
21,secure_feasible_ratio,proposed_hybrid,0.2
21,secure_feasible_ratio,qkd_priority,0.2
22,secure_feasible_ratio,latency_first,0.2
22,secure_feasible_ratio,pqc_trust,0.2
22,secure_feasible_ratio,proposed_hybrid,0.2
22,secure_feasible_ratio,qkd_priority,0.2
23,secure_feasible_ratio,latency_first,0.2
23,secure_feasible_ratio,pqc_trust,0.2
23,secure_feasible_ratio,proposed_hybrid,0.2
23,secure_feasible_ratio,qkd_priority,0.2
0,allocated_ratio,latency_first,0.6
0,allocated_ratio,pqc_trust,0.6
0,allocated_ratio,proposed_hybrid,0.6
0,allocated_ratio,qkd_priority,0.6
1,allocated_ratio,latency_first,0.4
1,allocated_ratio,pqc_trust,0.4
1,allocated_ratio,proposed_hybrid,0.4
1,allocated_ratio,qkd_priority,0.4
2,allocated_ratio,latency_first,0.6
2,allocated_ratio,pqc_trust,0.6
2,allocated_ratio,proposed_hybrid,0.6
2,allocated_ratio,qkd_priority,0.6
3,allocated_ratio,latency_first,0.2
3,allocated_ratio,pqc_trust,0.2
3,allocated_ratio,proposed_hybrid,0.2
3,allocated_ratio,qkd_priority,0.2
4,allocated_ratio,latency_first,0.6
4,allocated_ratio,pqc_trust,0.6
4,allocated_ratio,proposed_hybrid,0.6
4,allocated_ratio,qkd_priority,0.6
5,allocated_ratio,latency_first,0.6
5,allocated_ratio,pqc_trust,0.6
5,allocated_ratio,proposed_hybrid,0.6
5,allocated_ratio,qkd_priority,0.6
6,allocated_ratio,latency_first,0.4
6,allocated_ratio,pqc_trust,0.4
6,allocated_ratio,proposed_hybrid,0.4
6,allocated_ratio,qkd_priority,0.4
7,allocated_ratio,latency_first,0.6
7,allocated_ratio,pqc_trust,0.6
7,allocated_ratio,proposed_hybrid,0.6
7,allocated_ratio,qkd_priority,0.6
8,allocated_ratio,latency_first,0.6
8,allocated_ratio,pqc_trust,0.6
8,allocated_ratio,proposed_hybrid,0.6
8,allocated_ratio,qkd_priority,0.6
9,allocated_ratio,latency_first,0.6
9,allocated_ratio,pqc_trust,0.6
9,allocated_ratio,proposed_hybrid,0.6
9,allocated_ratio,qkd_priority,0.6
10,allocated_ratio,latency_first,0.6
10,allocated_ratio,pqc_trust,0.6
10,allocated_ratio,proposed_hybrid,0.6
10,allocated_ratio,qkd_priority,0.6
11,allocated_ratio,latency_first,0.8
11,allocated_ratio,pqc_trust,0.8
11,allocated_ratio,proposed_hybrid,0.8
11,allocated_ratio,qkd_priority,0.8
12,allocated_ratio,latency_first,0.6
12,allocated_ratio,pqc_trust,0.6
12,allocated_ratio,proposed_hybrid,0.6
12,allocated_ratio,qkd_priority,0.6
13,allocated_ratio,latency_first,0.6
13,allocated_ratio,pqc_trust,0.6
13,allocated_ratio,proposed_hybrid,0.6
13,allocated_ratio,qkd_priority,0.6
14,allocated_ratio,latency_first,0.6
14,allocated_ratio,pqc_trust,0.6
14,allocated_ratio,proposed_hybrid,0.6
14,allocated_ratio,qkd_priority,0.6
15,allocated_ratio,latency_first,0.6
15,allocated_ratio,pqc_trust,0.6
15,allocated_ratio,proposed_hybrid,0.6
15,allocated_ratio,qkd_priority,0.6
16,allocated_ratio,latency_first,0.6
16,allocated_ratio,pqc_trust,0.6
16,allocated_ratio,proposed_hybrid,0.6
16,allocated_ratio,qkd_priority,0.6
17,allocated_ratio,latency_first,0.6
17,allocated_ratio,pqc_trust,0.6
17,allocated_ratio,proposed_hybrid,0.6
17,allocated_ratio,qkd_priority,0.6
18,allocated_ratio,latency_first,0.6
18,allocated_ratio,pqc_trust,0.6
18,allocated_ratio,proposed_hybrid,0.6
18,allocated_ratio,qkd_priority,0.6
19,allocated_ratio,latency_first,0.6
19,allocated_ratio,pqc_trust,0.6
19,allocated_ratio,proposed_hybrid,0.6
19,allocated_ratio,qkd_priority,0.6
20,allocated_ratio,latency_first,0.6
20,allocated_ratio,pqc_trust,0.6
20,allocated_ratio,proposed_hybrid,0.6
20,allocated_ratio,qkd_priority,0.6
21,allocated_ratio,latency_first,0.6
21,allocated_ratio,pqc_trust,0.6
21,allocated_ratio,proposed_hybrid,0.6
21,allocated_ratio,qkd_priority,0.6
22,allocated_ratio,latency_first,0.6
22,allocated_ratio,pqc_trust,0.6
22,allocated_ratio,proposed_hybrid,0.6
22,allocated_ratio,qkd_priority,0.6
23,allocated_ratio,latency_first,0.6
23,allocated_ratio,pqc_trust,0.6
23,allocated_ratio,proposed_hybrid,0.6
23,allocated_ratio,qkd_priority,0.6
0,mean_security_margin,proposed_hybrid,-0.1750385062552005
1,mean_security_margin,proposed_hybrid,-0.2860883080206146
1,mean_security_margin,qkd_priority,-0.2860883080206146
2,mean_security_margin,proposed_hybrid,-0.16066476490502352
3,mean_security_margin,latency_first,-0.32598801773548586
3,mean_security_margin,pqc_trust,-0.32598801773548586
3,mean_security_margin,proposed_hybrid,-0.32598801773548586
3,mean_security_margin,qkd_priority,-0.32598801773548586
4,mean_security_margin,qkd_priority,-0.16597635212962972
5,mean_security_margin,pqc_trust,-0.13363512988843157
5,mean_security_margin,proposed_hybrid,-0.13363512988843157
5,mean_security_margin,qkd_priority,-0.13363512988843157
6,mean_security_margin,qkd_priority,-0.23753988967572798
